ID;Name;global_id;OnTerritoryOfMoscow;AdmArea;District;Address;Longitude_WGS84;Latitude_WGS84;ContactPhone;GraveType;ObjectArea;ObjectStatus;geoData
7;Богородское (д. Богородское) кладбище;1712668;да;Троицкий административный округ;поселение Роговское;деревня Богородское;37.053418;55.213226;(495) 232-40-21;гробом в землю;0.13;закрытое;{type=Point, coordinates=[37.053418, 55.213226]}
8;Богородское кладбище;1712669;да;Восточный административный округ;район Преображенское;Краснобогатырская улица, вл. 81;37.708192;55.803805;(495) 791-05-39;гробом в землю;2.46;закрытое;{type=Point, coordinates=[37.708192, 55.803805]}
9;Богоявление кладбище;1712670;да;Троицкий административный округ;поселение Вороновское;село Богоявление;37.17643;55.25522;(495) 232-40-21;гробом в землю;0.4;закрытое;{type=Point, coordinates=[37.17643, 55.25522]}
10;Введенское кладбище;1712671;да;Юго-Восточный административный округ;район Лефортово;Наличная ул., вл. 1;37.709299;55.766382;(495) 360-65-00;урной в открытый колумбарий, урной в землю, урной в саркофаг, гробом в землю;17;закрытое;{type=Point, coordinates=[37.709299, 55.766382]}
11;Большое Свинорье кладбище;1712672;да;Новомосковский административный округ;поселение Марушкинское;деревня Большое Свинорье;37.145168;55.571571;(495) 952-47-37;гробом в землю;7.5;закрытое;{type=Point, coordinates=[37.145168, 55.571571]}
12;Борисовское кладбище;1712673;да;Южный административный округ;район Братеево;Борисовские Пруды улица, вл. 4;37.734079;55.634297;(495) 644-75-14;урной в землю, гробом в землю;1.1;закрытое;{type=Point, coordinates=[37.734079, 55.634297]}
13;Бусиновское кладбище;1712674;да;Северный административный округ;район Западное Дегунино;улица Краснополянская, вл. 18;37.495282;55.888083;(495) 486-55-98;урной в открытый колумбарий, урной в землю, гробом в землю;1.1;закрытое;{type=Point, coordinates=[37.495282, 55.888083]}
14;Бутовское кладбище;1712675;да;Юго-Западный административный округ;район Южное Бутово;Южное Бутово, 36-й км Курской ж/д;37.562586;55.528625;(495) 773-56-33;урной в землю, гробом в землю;24.7;открытое;{type=Point, coordinates=[37.562586, 55.528625]}
15;Былово кладбище;1712676;да;Троицкий административный округ;поселение Краснопахорское;село Былово;37.241735;55.444574;(495) 232-40-21;гробом в землю;0.2;закрытое;{type=Point, coordinates=[37.241735, 55.444574]}
16;Ваганьковское кладбище;1712677;да;Центральный административный округ;Пресненский район;ул. Сергея Макеева, вл. 15;37.554625;55.767955;(495) 253-80-17;урной в открытый колумбарий, урной в закрытый колумбарий, урной в землю, урной в саркофаг, гробом в землю;48.1;закрытое;{type=Point, coordinates=[37.554625, 55.767955]}
17;Головинское кладбище;1712678;да;Северный административный округ;Головинский район;Головинское шоссе, вл. 13;37.501284;55.838304;(495) 450-59-27;урной в землю, урной в саркофаг, гробом в землю;15.4;закрытое;{type=Point, coordinates=[37.501284, 55.838304]}
19;Варварино кладбище;1712680;да;Троицкий административный округ;поселение Краснопахорское;деревня Варварино;37.250620;55.431382;(495) 232-40-21;гробом в землю;0.6;закрытое;{type=Point, coordinates=[37.25062, 55.431382]}
