number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
4005,Трамвай,Остановка,"Пр. Культуры, 26 T ","ПР. КУЛЬТУРЫ, 26",Культуры пр.,"20,58,","60.049080,30.377800"
4006,Автобус,Остановка,"ПР. КУЛЬТУРЫ,29","ПР. КУЛЬТУРЫ,29",Культуры пр.,"99,139,","60.048414,30.377502"
4007,Автобус,Остановка,"ПР. КУЛЬТУРЫ,29","ПР. КУЛЬТУРЫ,29",Культуры пр.,"К-58,99,139,","60.048646,30.378373"
4008,Автобус,Остановка,ПР. КУЛЬТУРЫ<,ПР. КУЛЬТУРЫ<,"Суздальский пр., Культуры пр.","1М,1МА,40,61,69,93,98,102,103,153,183,","60.051924,30.382690"
4009,Автобус,Остановка,ПР. ЛЕНИНА,ПР. ЛЕНИНА,"проспект Ленина, Кривоносовская улица","305,321,404,410,415,415А,552,552А,","60.205884,29.708894"
4010,Автобус,Остановка,ПР. ЛЕНИНА,ПР. ЛЕНИНА,"Кривоносовская улица, проспект Ленина","305,321,404,410,415,552,552А,","60.205131,29.707459"
4011,Автобус,Остановка,ПР. ЛЕНИНА,ПР. ЛЕНИНА,"проспект Ленина, улица Восстановления","144,145,145А,165,446,477,481,482,482В,484,547,","59.724480,30.081310"
4012,Автобус,Остановка,"ПР. ЛЕНИНА, УГ. УЛ. ПЕРВОГО МАЯ","ПР. ЛЕНИНА, УГ. УЛ. ПЕРВОГО МАЯ","1-го Мая ул., Ленина пр.","144,146,147,149,149А,301,442,443,446,454,458,458Б,477,547,","59.732869,30.088570"
4013,Автобус,Остановка,"ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ","ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ","ул. Танкистов, Колпинское ш.","326,336,337,337А,364,368,386,","59.749480,30.562300"
4014,Автобус,Остановка,"ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ","ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ","Колпинское ш., ул. Фидерная","326,368,","59.749930,30.561590"
4015,Автобус,Остановка,"ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ []<","ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ","проспект Ленина, Танкистов ул.","337А,","59.749818,30.563595"
4016,Автобус,Остановка,"ПР. ЛЕНИНА,53","ПР. ЛЕНИНА,53","пр. Ленина, Павловская ул.","192,196,325,336,337,337А,367,374,386,","59.750278,30.570339"
4017,Автобус,Остановка,"ПР. ЛЕНИНА,53","ПР. ЛЕНИНА,53","пр. Ленина, Павловская ул.","192,196,325,336,337,337А,367,374,386,","59.750110,30.569448"
4018,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Луначарского пр., Черкасова ул.","93,139,","60.023570,30.418489"
4019,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Светлановский, Луначарского","98,153,176,","60.031437,30.392572"
4020,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Гражданский пр., Луначарского пр.","1М,1МА,60,177,","60.026707,30.411202"
4021,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Гражданский пр., Луначарского пр.","1М,1МА,60,139,177,","60.026474,30.411599"
4022,Троллейбус,Остановка,Пр. Луначарского ,ПР. ЛУНАЧАРСКОГО,"Есенина ул., Луначарского пр.",13,"60.041990,30.334060"
4023,Троллейбус,Остановка,Пр. Луначарского ,ПР. ЛУНАЧАРСКОГО,"улица Есенина, проспект Луначарского",13,"60.043006,30.335210"
