number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
2277,Автобус,Остановка,КРОНШТАДТСКАЯ ПЛОЩАДЬ [142],КРОНШТАДТСКАЯ ПЛОЩАДЬ,"Ленинский пр., Стачек пр.","26,К-35,К-43,К-45,87,К-103,142,К-142,К-226,К-242,К-339,К-420,","59.852003,30.240673"
2278,Автобус,Остановка,КРОНШТАДТСКАЯ ПЛОЩАДЬ [142]<,КРОНШТАДТСКАЯ ПЛОЩАДЬ,"Ленинский пр., Кронштадтская пл.","26,К-35,К-43,К-45,87,К-103,142,К-142,К-226,К-242,К-339,К-420,","59.851718,30.240586"
2279,Автобус,Остановка,"КРОНШТАДТСКАЯ ПЛОЩАДЬ [20, 200, 210]",КРОНШТАДТСКАЯ ПЛОЩАДЬ,"проспект Стачек, Кронштадтская площадь","20,108,200,210,481,482,482В,484,487,","59.850960,30.234590"
2280,Автобус,Остановка,"КРОНШТАДТСКАЯ ПЛОЩАДЬ [20, 200, 210]<",КРОНШТАДТСКАЯ ПЛОЩАДЬ,"Стачек пр., Кронштадтская пл.","20,108,200,210,481,","59.850796,30.234785"
2281,Автобус,Остановка,КРОНШТАДТСКАЯ УЛ.,КРОНШТАДТСКАЯ УЛ.,"Маршала Жукова пр., Кронштадтская ул.","2,111,","59.872936,30.254052"
2282,Автобус,Остановка,КРОНШТАДТСКАЯ УЛ. [2],КРОНШТАДТСКАЯ УЛ.,"Зенитчиков ул., Кронштадтская ул.","2,111,","59.872774,30.256370"
2283,Троллейбус,Остановка,Кронштадтская ул. ,Кронштадтская ул.,"Маршала Жукова пр., Кронштадтская ул.","41,46,48,","59.872889,30.254111"
2284,Троллейбус,Остановка,Кронштадтская ул. ,Кронштадтская ул.,"улица Зенитчиков, Кронштадтская улица","41,46,48,","59.872790,30.256530"
2285,Трамвай,Остановка,Кронштадтская ул. Т ,КРОНШТАДТСКАЯ УЛ.,"Корабельная ул., Кронштадтская ул.","52,56,60,","59.876247,30.253794"
2286,Автобус,Остановка,"КРОНШТАДТСКИЕ ВОРОТА [2Кр,3Кр]",КРОНШТАДТСКИЕ ВОРОТА,"ул.Зосимова, Кронштадтское шоссе","2КР,2Л,3Кр,175,","60.001638,29.762573"
2287,Автобус,Остановка,"КРОНШТАДТСКИЕ ВОРОТА [2Кр,3Кр]",КРОНШТАДТСКИЕ ВОРОТА,"ул.Зосимова, Кронштадтское шоссе","1Кр,2КР,","60.001637,29.763207"
2288,Автобус,Остановка,КРОНШТАДТСКИЙ ЛИЦЕЙ,КРОНШТАДТСКИЙ ЛИЦЕЙ,Кронштадтское шоссе,"2КР,2Л,3Кр,101,175,215,406,","60.009138,29.733227"
2289,Автобус,Остановка,КРОНШТАДТСКИЙ ЛИЦЕЙ,КРОНШТАДТСКИЙ ЛИЦЕЙ,Кронштадтское шоссе,"1Кр,2КР,2Л,101,175,215,406,","60.008419,29.733635"
2290,Автобус,Остановка,"КРОНШТАДТСКОЕ ШОССЕ, 38 [101]","КРОНШТАДТСКОЕ ШОССЕ, 38","Кронштадтское шоссе, ул. Литке","2КР,2Л,101,175,215,406,","60.011615,29.724439"
2291,Автобус,Остановка,"КРОНШТАДТСКОЕ ШОССЕ,38 [101]<","КРОНШТАДТСКОЕ ШОССЕ,38","Кронштадтское шоссе, ул. Литке","2КР,2Л,101,101А,175,215,406,","60.011423,29.725850"
2292,Автобус,Остановка,КРОПОТКИНСКАЯ УЛ.,КРОПОТКИНСКАЯ УЛ.,"Санкт-Петербургское ш., ул. Кропоткинская","200,201,210,359,","59.854727,30.021125"
2293,Автобус,Остановка,КРОПОТКИНСКАЯ УЛ.,КРОПОТКИНСКАЯ УЛ.,"Санкт-Петербургское ш., ул. Кропоткинская","200,201,210,359,","59.854562,30.021483"
2294,Автобус,Остановка,КРУГОВАЯ УЛ.,КРУГОВАЯ УЛ.,Приморское ш.,211,"60.163034,29.843910"
2295,Автобус,Остановка,КРУГОВАЯ УЛ.,КРУГОВАЯ УЛ.,Приморское ш.,211,"60.163357,29.843306"
2296,Автобус,Временная,КТ,КТ,"улица Савушкина, Планерная улица","К-132,К-305,К-305а,К-400,К-417,К-425,К-690,","59.985067,30.230708"
2297,Автобус,Временная,КТ,КТ,"площадь Победы, Московский проспект","К-216,К-290,К-299,К-347,К-350,","59.844159,30.321889"
2298,Автобус,Временная,КТ,КТ,"Ленинский проспект, площадь Конституции","К-216,К-217,К-226,К-227,К-246,К-338,К-339,К-344","59.851923,30.304596"
2299,Автобус,Временная,КТ,КТ,"Витебский проспект, улица Типанова","К-114,К-217,К-227,К-246,К-339,К-344","59.854019,30.364131"
2300,Автобус,Временная,КТ,КТ,"улица Коллонтай, проспект Большевиков","К-218,К-254,К-264,К-269,К-284,К-388,К-401","59.919798,30.470473"
2301,Автобус,Временная,КТ,КТ,"Индустриальный проспект, Ириновский проспект","К-218,К-264","59.955868,30.466850"
2302,Автобус,Временная,КТ,КТ,"бульвар Свободы, бульвар Победы","К-220А,К-292,К-296,К-366,К-391А,К-391Б","59.747686,30.597023"
2303,Автобус,Временная,КТ,КТ,"Петрозаводское шоссе, улица Труда","К-220А,К-220Б,К-268","59.797149,30.605409"
2304,Автобус,Временная,КТ,КТ,"Загородная улица, улица Урицкого",К-220Б,"59.757237,30.598650"
2305,Автобус,Временная,КТ,КТ,"проспект Славы, Бухарестская улица","К-114,К-250,К-253,К-344,К-388","59.859071,30.392402"
2306,Автобус,Временная,КТ,КТ,"улица Салова, Бухарестская улица","К-250,К-344,К-401","59.883938,30.367165"
2307,Автобус,Временная,КТ,КТ,"Заводской проспект, улица Веры Слуцкой","К-291,К-366","59.730455,30.577416"
2308,Автобус,Временная,КТ,КТ,"Софийская улица, Усть-Ижорское шоссе","К-293А,К-296","59.779995,30.497616"
2309,Автобус,Временная,КТ,КТ,"Колпинское шоссе, Фидерная улица","К-201,К-296,К-296А,К-391А,К-391Б","59.749902,30.562519"
2310,Автобус,Временная,КТ,КТ,"Малый проспект В.О., Гаванская улица","К-350,","59.937821,30.237754"
2311,Автобус,Временная,КТ,КТ,"шоссе Революции, Среднеохтинский проспект","К-322,К-389,К-530","59.959279,30.415610"
2312,Автобус,Временная,КТ,КТ,"Ропшинское шоссе, Санкт-Петербургское шоссе","К-329,К-343,К-404,К-420,К-424,","59.872370,29.961963"
2313,Автобус,Временная,КТ,КТ,"площадь Воинской Славы, улица Восстановления","К-402,К-403,К-445А,К-445В","59.724498,30.080038"
2314,Автобус,Временная,КТ,КТ,"проспект Ленина, Ленинградская улица","К-403,К-445А,К-445В","59.754131,30.105699"
2315,Автобус,Временная,КТ,КТ,"Красносельское шоссе, Аннинское шоссе","К-403,К-445А,К-445Б,К-445В","59.780904,30.134203"
2316,Автобус,Временная,КТ,КТ,"Мурманское шоссе, КАД",К-515,"59.892005,30.523863"
2317,Автобус,Временная,КТ,КТ,Мурманское шоссе,К-515,"59.896773,30.677687"
2318,Автобус,Временная,КТ,КТ,Мурманское шоссе,К-515,"59.910878,30.931127"
2319,Автобус,Временная,КТ,КТ,"Центральная улица, Шоссейная улица",К-521,"59.664851,30.531732"
2320,Автобус,Временная,КТ,КТ,"Парковая улица, Фильтровское шоссе",К-521,"59.695479,30.437561"
2321,Автобус,Временная,КТ,КТ,"улица Гидротехников, Гражданский проспект","К-131,","60.006572,30.391202"
2322,Автобус,Остановка,КУБИНСКАЯ УЛ. [72],КУБИНСКАЯ УЛ.,"Краснопутиловская ул., Кубинская ул.",72,"59.858458,30.293384"
2323,Автобус,Остановка,КУБИНСКАЯ УЛ. [72]<,КУБИНСКАЯ УЛ.,"Краснопутиловская ул., Кубинская ул.","62,72,","59.857244,30.294681"
2324,Автобус,Остановка,"КУБИНСКАЯ УЛ., 34 [62]","КУБИНСКАЯ УЛ., 34",Кубинская ул.,62,"59.861346,30.294778"
2325,Автобус,Остановка,"КУБИНСКАЯ УЛ., 34 [62]<","КУБИНСКАЯ УЛ., 34","Кубинская ул., Краснопутиловская ул.",62,"59.860885,30.294183"
2326,Автобус,Остановка,"КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО ","КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО","улица Костюшко, Кубинская улица","13А,156,","59.848169,30.292337"
2327,Автобус,Остановка,"КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО [62]","КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО","Кубинская ул., Костюшко ул.","13А,62,63,156,","59.848613,30.292069"
2328,Автобус,Остановка,"КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО [62]<","КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО","Кубинская ул., Костюшко ул.","62,63,","59.848633,30.291603"
2329,Автобус,Остановка,КУЗНЕЦОВСКАЯ УЛ.,КУЗНЕЦОВСКАЯ УЛ.,"Новоизмайловский пр., Кузнецовская ул.","36,64,64А,","59.872029,30.305877"
2330,Автобус,Остановка,КУЗНЕЦОВСКАЯ УЛ.,КУЗНЕЦОВСКАЯ УЛ.,"Новоизмайловский пр., Кузнецовская ул.","36,64,64А,","59.871264,30.305352"
2331,Автобус,Остановка,КУЗНЕЦОВСКАЯ УЛ.,КУЗНЕЦОВСКАЯ УЛ.,"Кубинская улица, Кузнецовская улица",62,"59.871733,30.297705"
2332,Автобус,Остановка,КУЗНЕЦОВСКАЯ УЛ.,КУЗНЕЦОВСКАЯ УЛ.,"Кубинская улица, Кузнецовская улица",62,"59.871461,30.297291"
2333,Автобус,Остановка,"КУЗНЕЦОВСКАЯ УЛ. [3, 50]",КУЗНЕЦОВСКАЯ УЛ.,"Московский пр., Кузнецовская ул.","2М,2МА,3,26,50,","59.872436,30.320612"
2334,Автобус,Остановка,"КУЗНЕЦОВСКАЯ УЛ. [3, 50]<",КУЗНЕЦОВСКАЯ УЛ.,"Московский пр., Кузнецовская ул.","2М,2МА,3,26,50,","59.871204,30.319957"
2335,Троллейбус,Остановка,Кузнецовская улица ,КУЗНЕЦОВСКАЯ УЛИЦА,"Новоизмайловский проспект, Кузнецовская улица","17,44,","59.871270,30.305500"
2336,Троллейбус,Остановка,Кузнецовская улица ,КУЗНЕЦОВСКАЯ УЛИЦА,"Новоизмайловский, Кузнецовская","17,44,","59.871800,30.305900"
2337,Троллейбус,Остановка,Кузнецовская улица ,КУЗНЕЦОВСКАЯ УЛИЦА,"Кузнецовская, Юрия Гагарина","24,26,","59.871972,30.334208"
2338,Троллейбус,Остановка,Кузнецовская улица ,КУЗНЕЦОВСКАЯ УЛИЦА,"Кузнецовская улица, Московский проспект","24,26,","59.871630,30.322670"
2339,Трамвай,Остановка,Кузнецовская улица Т ,КУЗНЕЦОВСКАЯ УЛИЦА,"Московский пр., Кузнецовская ул.","29,45,","59.871470,30.320420"
2340,Трамвай,Остановка,Кузнецовская улица Т ,КУЗНЕЦОВСКАЯ УЛИЦА,"Московский проспект, Кузнецовская улица","29,45,","59.871910,30.320160"
2341,Автобус,Остановка,КУЗНЕЧНЫЙ ПЕРЕУЛОК,КУЗНЕЧНЫЙ ПЕРЕУЛОК,"Лиговский пр., Кузнечный пер.","3,4М,4МБ,26,54,65,74,76,91,141,","59.926072,30.358005"
2342,Автобус,Остановка,КУЗНЕЧНЫЙ ПЕРЕУЛОК,КУЗНЕЧНЫЙ ПЕРЕУЛОК,"Лиговский пр., Кузнечный пер.","3,4М,4МБ,26,54,65,74,76,91,141,","59.926299,30.357869"
2343,Трамвай,Остановка,Кузнечный переулок Т ,КУЗНЕЧНЫЙ ПЕРЕУЛОК,"Лиговский, Кузнечный","16,25,49,","59.926347,30.358200"
2344,Автобус,Остановка,КУЗЬМИНСКОЕ ШОССЕ,КУЗЬМИНСКОЕ ШОССЕ,"Кузьминское шоссе, Петербургское шоссе",377,"59.733882,30.393754"
2345,Автобус,Остановка,КУЗЬМИНСКОЕ ШОССЕ [187],КУЗЬМИНСКОЕ ШОССЕ,"Кузьминское ш., Ленинградская ул.","187,371,","59.733406,30.394060"
2346,Автобус,Остановка,КУЗЬМИНСКОЕ ШОССЕ [187]<,КУЗЬМИНСКОЕ ШОССЕ,"Кузьминское ш., Ленинградская ул.","187,377,","59.734266,30.394259"
2347,Автобус,Остановка,КУПЧИНСКАЯ УЛ. [56],КУПЧИНСКАЯ УЛ.,"ул. Олеко Дундича, ул. Купчинская",56,"59.827800,30.398550"
2348,Автобус,Остановка,КУПЧИНСКАЯ УЛ. ,КУПЧИНСКАЯ УЛ. ,"ул. Олеко Дундича, ул. Купчинская","2М,2МА,50,54,74,96,157,159,","59.827800,30.398550"
2349,Автобус,Остановка,КУПЧИНСКАЯ УЛ.  [56],КУПЧИНСКАЯ УЛ. ,"ул. Ярослава Гашека, ул. Купчинская","2М,2МА,50,53,54,56,96,159,326,","59.833060,30.391360"
2350,Автобус,Остановка,КУПЧИНСКАЯ УЛ.  [56]<,КУПЧИНСКАЯ УЛ. ,"Ярослава Гашека ул., Купчинская ул.","53,54,56,96,159,","59.833196,30.393413"
2351,Автобус,Остановка,КУПЧИНСКАЯ УЛ. ПО УЛ. О. ДУНДИЧА,КУПЧИНСКАЯ УЛ. ПО УЛ. О. ДУНДИЧА,"ул. Олеко Дундича, ул. Купчинская","2М,2МА,50,54,56,74,96,157,159,","59.827920,30.396370"
2352,Автобус,Остановка,КУПЧИНСКАЯ УЛ. УГ. УЛ. Я. ГАШЕКА,КУПЧИНСКАЯ УЛ. УГ. УЛ. Я. ГАШЕКА,"ул. Купчинская, ул. Ярослава Гашека","2М,2МА,50,326,","59.834540,30.391390"
2353,Автобус,Остановка,"КУПЧИНСКАЯ УЛ., УГ. ДУНАЙСКОГО ПР.","КУПЧИНСКАЯ УЛ., УГ. ДУНАЙСКОГО ПР.","Дунайский пр., ул. Купчинская","197,326,","59.836870,30.389630"
2354,Троллейбус,Остановка,Купчинская улица ,КУПЧИНСКАЯ УЛИЦА,"Ярослава Гашека ул., Купчинская ул.","39,47,","59.833220,30.393590"
2355,Троллейбус,Остановка,Купчинская улица ,КУПЧИНСКАЯ УЛИЦА,"Ярослава Гашека, Купчинская","39,47,","59.833000,30.391400"
2356,Трамвай,Остановка,Купчинская улица T ,КУПЧИНСКАЯ УЛИЦА,"Димитрова, Купчинская","25,43,","59.846519,30.379642"
2357,Трамвай,Остановка,Купчинская улица T ,КУПЧИНСКАЯ УЛИЦА,"Ярослава Гашека ул., Купчинская ул.","25,43,45,62,","59.832910,30.391910"
2358,Трамвай,Остановка,Купчинская улица Т ,КУПЧИНСКАЯ УЛИЦА,"ул. Ярослава Гашека, ул. Купчинская","45,62,","59.833331,30.392850"
2359,Автобус,Остановка,"КУРЛЯНДСКАЯ УЛ. [2, 6, 49, 66]",КУРЛЯНДСКАЯ УЛ.,"Старо-Петергофский пр., Курляндская ул.","2,6,49,66,","59.912185,30.277159"
2360,Автобус,Остановка,"КУРЛЯНДСКАЯ УЛ. [2, 6, 49, 66]<",КУРЛЯНДСКАЯ УЛ.,"Старо-Петергофский пр., Курляндская ул.","2,6,49,","59.910886,30.276034"
2361,Автобус,Остановка,КУРОРТНАЯ УЛ.,КУРОРТНАЯ УЛ.,"Курортная ул., ул. Григорьева","216,306,306А,309,312,314,315,","60.105831,29.954339"
2362,Автобус,Остановка,КУРОРТНАЯ УЛ. ,КУРОРТНАЯ УЛ.,"ул. Оранжерейная, ул. Максима Горького","216,306,307,311,314,315,","60.105798,29.954070"
2363,Автобус,Остановка,КУРСКАЯ УЛ. [3],КУРСКАЯ УЛ.,"Лиговский пр., Курская ул.","3,26,54,91,141,","59.911517,30.348340"
2364,Автобус,Остановка,КУРСКАЯ УЛ. [3]<,КУРСКАЯ УЛ.,"Лиговский пр., Курская ул.","3,26,54,91,141,","59.911526,30.348183"
2365,Автобус,Остановка,КУРСКАЯ УЛ. 28,КУРСКАЯ УЛ. 28,"ул. Курская, ул. Днепропетровская","5М,5Мб,57,74,76,","59.910887,30.355622"
2366,Трамвай,Остановка,Курская улица Т ,КУРСКАЯ УЛИЦА,"Лиговский, Курская","16,25,49,","59.911817,30.348558"
2367,Трамвай,Остановка,Курская улица Т ,КУРСКАЯ УЛИЦА,"Лиговский, Курская","16,25,49,","59.911325,30.348019"
2368,Автобус,Остановка,Кушелевская дорога,Кушелевская дорога,"проспект Маршала Блюхера, Кушелевская дорога","137,185,","59.985033,30.366374"
2369,Автобус,Остановка,Кушелевская дорога,Кушелевская дорога,"проспект Маршала Блюхера, Кушелевская дорога","137,185,","59.985047,30.365258"
2370,Автобус,Остановка,"КУШЕЛЕВСКАЯ ДОРОГА, Д. 12","КУШЕЛЕВСКАЯ ДОРОГА, Д. 12",Кушелевская дорога,60,"59.988746,30.369558"
2371,Автобус,Остановка,"КУШЕЛЕВСКАЯ ДОРОГА, Д. 5","КУШЕЛЕВСКАЯ ДОРОГА, Д. 5",Кушелевская дорога,60,"59.988969,30.371151"
2372,Автобус,Остановка,"УЛ. МАРШАЛА ТУХАЧЕВСКОГО, 24","Л. МАРШАЛА ТУХАЧЕВСКОГО, 24","улица Маршала Тухачевского, Пискарёвский проспект",55,"59.972966,30.415394"
2373,Троллейбус,Остановка,Лабораторная ул.,Лабораторная ул.,"проспект Маршала Блюхера, Лабораторная улица",18,"59.978920,30.382800"
2374,Автобус,Остановка,ЛАБОРАТОРНЫЙ ПР.,ЛАБОРАТОРНЫЙ ПР.,"Маршала Блюхера пр., Лабораторная ул.","105,185,К-271,К-369,","59.978986,30.383002"
2375,Автобус,Остановка,ЛАБОРАТОРНЫЙ ПР.,ЛАБОРАТОРНЫЙ ПР.,"ул. Лабораторная, пр. Маршала Блюхера","105,137,","59.978410,30.382083"
2376,Автобус,Остановка,ЛАБОРАТОРНЫЙ ПР. [137]<,ЛАБОРАТОРНЫЙ ПР.,"Маршала Блюхера пр., Лабораторный пр.","137,185,К-271,К-369,К-373,","59.979604,30.381830"
2377,Троллейбус,Остановка,Лабороторный пр.,Лабороторный пр.,"проспект Маршала Блюхера, Лабораторный проспект",18,"59.979557,30.382126"
2378,Автобус,Остановка,"ЛАГЕРНОЕ ШОССЕ, 1","ЛАГЕРНОЕ ШОССЕ, 1","Лагерное шоссе, Центральная улица",336,"59.779381,30.655975"
2379,Автобус,Остановка,ЛАГЕРЬ [477],ЛАГЕРЬ,Гатчинское ш.,477,"59.703061,30.095521"
2380,Автобус,Остановка,ЛАГЕРЬ [477],ЛАГЕРЬ,Гатчинское ш.,477,"59.704057,30.094855"
2381,Автобус,Остановка,"ЛАГОЛОВО [482, 482а, 482в, 484, 484б, 487]",ЛАГОЛОВО,Нарвское ш.,"446,481,482,482В,484,487,547,","59.709304,30.012326"
2382,Автобус,Остановка,"ЛАГОЛОВО [482, 482а, 482в, 484, 484б, 487]<",ЛАГОЛОВО,Таллинское ш.,"446,481,482,482В,484,487,547,","59.709822,30.015619"
2383,Троллейбус,Остановка,Ладожский вокзал ,ЛАДОЖСКИЙ ВОКЗАЛ,"Зольная, Заневский","1,22,","59.932061,30.439728"
2384,Автобус,Остановка,ЛАНСКОЕ ШОССЕ,ЛАНСКОЕ ШОССЕ,"набережная Чёрной речки, Ланское шоссе","79,122,","59.990044,30.301164"
2385,Троллейбус,Остановка,Ланское шоссе ,ЛАНСКОЕ ШОССЕ,"Ланское шоссе, Новосибирская улица","6,34,","59.991651,30.307948"
2386,Автобус,Остановка,"ЛАХТА, 15 КМ","ЛАХТА, 15 КМ","Приморское шоссе, Лахтинский пр.","101,110,К-206,К-210,211,216,К-232,","59.990195,30.169055"
2387,Автобус,Остановка,"ЛАХТА, 15 КМ","ЛАХТА, 15 КМ","Лахтинский проспект, Приморское шоссе","101,101А,110,К-206,К-210,211,216,К-232,","59.989940,30.168736"
2388,Автобус,Остановка,ЛАХТИНСКИЙ РАЗЛИВ,ЛАХТИНСКИЙ РАЗЛИВ,"Шуваловский пр, Лыжная ул.","126,К-279,","59.999570,30.193330"
2389,Автобус,Остановка,ЛАХТИНСКИЙ РАЗЛИВ,ЛАХТИНСКИЙ РАЗЛИВ,"Шуваловский пр., ул. Лыжная","125,154А,172,К-279,","60.000520,30.194164"
2390,Трамвай,Остановка,Лахтинский разлив ,Лахтинский разлив,"улица Савушкина, Школьная улица","19,48,","59.990034,30.193457"
2391,Трамвай,Остановка,Лахтинский разлив ,Лахтинский разлив,"улица Савушкина, Школьная улица","19,48,","59.989910,30.193878"
2392,Трамвай,Остановка,Лахтинский разлив ,Лахтинский разлив ,"Приморский проспект, Приморское шоссе","19,48,","59.989860,30.189220"
2393,Автобус,Остановка,"ЛАШКОВИЦЫ [487, 487, 487а]",ЛАШКОВИЦЫ,Таллинское ш.,487,"59.588101,29.381953"
2394,Автобус,Остановка,"ЛАШКОВИЦЫ [487, 487, 487а]<",ЛАШКОВИЦЫ,Таллинское ш.,487,"59.587907,29.384140"
2395,Автобус,Остановка,"ЛЕВАШОВСКАЯ ПУСТОШЬ, ПО ТРЕБОВАНИЮ","ЛЕВАШОВСКАЯ ПУСТОШЬ, ПО ТРЕБОВАНИЮ",Горское шоссе,"75,84,84А,","60.093291,30.192132"
2396,Автобус,Остановка,"ЛЕВАШОВСКАЯ ПУСТОШЬ, ПО ТРЕБОВАНИЮ","ЛЕВАШОВСКАЯ ПУСТОШЬ, ПО ТРЕБОВАНИЮ",Горское шоссе,"75,84,84А,","60.093358,30.191597"
2397,Автобус,Остановка,"ЛЕВАШОВСКИЙ ПР., 2","ЛЕВАШОВСКИЙ ПР., 2","Левашовский проспект, Чкаловский проспект","10,25,","59.966164,30.298141"
2398,Автобус,Остановка,"ЛЕВАШОВСКИЙ ПР., 2","ЛЕВАШОВСКИЙ ПР., 2","Левашовский проспект, Чкаловский проспект","10,25,","59.966378,30.298500"
2399,Автобус,Остановка,"ЛЕВАШОВСКИЙ ПР., УГ. БАРОЧНОЙ УЛ.","ЛЕВАШОВСКИЙ ПР., УГ. БАРОЧНОЙ УЛ.","Левашовский проспект, Барочная улица","10,25,","59.966253,30.289498"
2400,Троллейбус,Остановка,"Левашовский просп. / Метро ""Петроградская"" ","ЛЕВАШОВСКИЙ ПРОСПЕКТ / МЕТРО ""ПЕТРОГРАДСКАЯ""","Левашовский, Малый ПС",34,"59.967600,30.307100"
2401,Автобус,Остановка,ЛЕНИНГРАДСКАЯ ПРИСТАНЬ,ЛЕНИНГРАДСКАЯ ПРИСТАНЬ,"Яхтенная площадь, Тулонская аллея","2КР,","59.985075,29.799927"
2402,Автобус,Остановка,ЛЕНИНГРАДСКАЯ ПРИСТАНЬ,ЛЕНИНГРАДСКАЯ ПРИСТАНЬ,"Яхтенная площадь, Тулонская аллея","2КР,К-405,","59.984846,29.799620"
2403,Автобус,Остановка,ЛЕНИНГРАДСКАЯ УЛ.,ЛЕНИНГРАДСКАЯ УЛ.,Аннинское ш.,"81,442,442А,458,458А,458Б,","59.783933,30.116143"
2404,Автобус,Остановка,ЛЕНИНГРАДСКАЯ УЛ.,ЛЕНИНГРАДСКАЯ УЛ.,Аннинское ш.,"81,442,442А,458,458А,458Б,","59.783641,30.116208"
2405,Автобус,Остановка,ЛЕНИНГРАДСКАЯ УЛ.,ЛЕНИНГРАДСКАЯ УЛ.,"Советская улица, Ленинградская улица","84,109,109А,315,497,","60.124080,30.160064"
2406,Автобус,Остановка,ЛЕНИНГРАДСКАЯ УЛ. УГОЛ ШКОЛЬНОЙ УЛ. [186],ЛЕНИНГРАДСКАЯ УЛ. УГОЛ ШКОЛЬНОЙ УЛ.,"Ленинградская ул., Школьная ул.","186,371,375,376,377,381,385,","59.729835,30.407612"
2407,Автобус,Остановка,ЛЕНИНГРАДСКАЯ УЛ. УГОЛ ШКОЛЬНОЙ УЛ. [186]<,ЛЕНИНГРАДСКАЯ УЛ. УГОЛ ШКОЛЬНОЙ УЛ.,"ул. Ленинградская, ул. Школьная","186,371,375,376,377,381,385,","59.730230,30.406900"
2408,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 119 [109]","ЛЕНИНГРАДСКАЯ УЛ., 119",Песочное шоссе,"109,109А,109Б,497,","60.117130,30.195245"
2409,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 119 [109]","ЛЕНИНГРАДСКАЯ УЛ., 119",Песочное шоссе,"109,109А,109Б,497,","60.117343,30.194419"
2410,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 61 [109]","ЛЕНИНГРАДСКАЯ УЛ., 61","Ленинградская улица, 2-й проезд","109,109А,109Б,497,","60.120540,30.168584"
2411,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 61 [109]","ЛЕНИНГРАДСКАЯ УЛ., 61","Ленинградская улица, 2-й проезд","109,109А,109Б,497,","60.120925,30.167758"
2412,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 70","ЛЕНИНГРАДСКАЯ УЛ., 70","Ленинградская ул., Песочное шоссе","109,109А,109Б,497,","60.117338,30.187306"
2413,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 70 [109]","ЛЕНИНГРАДСКАЯ УЛ., 70",Песочное шоссе,"109,109А,109Б,497,","60.117493,30.188078"
2414,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 89 []","ЛЕНИНГРАДСКАЯ УЛ., 89","Ленинградская ул., Вячеслава Шишкова ул.",371,"59.732436,30.400586"
2415,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 89 []<","ЛЕНИНГРАДСКАЯ УЛ., 89","Ленинградская ул., Вячеслава Шишкова ул.",371,"59.732177,30.399964"
2416,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., УГ. СОВЕТСКОЙ УЛ.","ЛЕНИНГРАДСКАЯ УЛ., УГ. СОВЕТСКОЙ УЛ.","ул. Ленинградская, ул. Советская","109,109А,109Б,497,","60.123923,30.160780"
2417,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., УГ. СОВЕТСКОЙ УЛ. [109]","ЛЕНИНГРАДСКАЯ УЛ., УГ. СОВЕТСКОЙ УЛ.","Ленинградская улица, Советская улица",84,"60.124099,30.160956"
2418,Автобус,Остановка,ЛЕНИНГРАДСКИЕ ВОРОТА,ЛЕНИНГРАДСКИЕ ВОРОТА,"Ленинградская ул., ул. Ильмянинова","1Кр,2КР,3Кр,","59.987640,29.791959"
2419,Автобус,Остановка,"ЛЕНИНГРАДСКИЕ ВОРОТА [1Кр,2Кр,3Кр]",ЛЕНИНГРАДСКИЕ ВОРОТА,"Ленинградская ул., ул. Ильмянинова","2КР,","59.987382,29.791744"
2420,Трамвай,Остановка,Ленинградский электромеханический завод Т ,Ленинградский электромеханический завод,,41,"59.854236,30.119833"
2421,Автобус,Остановка,"ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б","ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б",Ленинградское шоссе,104,"60.110002,30.312928"
2422,Автобус,Остановка,"ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б","ЛЕНИНГРАДСКОЕ ШОССЕ, 86 Б",Ленинградское шоссе,148,"60.110374,30.311734"
2423,Автобус,Остановка,ЛЕНИНО,ЛЕНИНО,,"К-68а,","59.850302,30.105387"
2424,Автобус,Остановка,ЛЕНИНСКИЙ ПР.,ЛЕНИНСКИЙ ПР.,"Стачек пр., Ленинский пр.","20,83,108,160,200,210,482,482В,484,487,","59.852672,30.239568"
2425,Автобус,Остановка,ЛЕНИНСКИЙ ПР.,ЛЕНИНСКИЙ ПР.,"Ленинский проспект, проспект Героев","2А,К-35,К-41,142,К-226,300,К-339,","59.864179,30.165533"
