Number;Year_Of_Build;Level;Number_Of_Rooms;Distance_To_The_Nearest_MRT-station;Class;Type_Of_Market;Common_Square;Square_Of_Kitchen;Price
13234;2000-2010;middle;three and more;15-30 minutes;economy;secondary;112,9;19,5;117803,4
13236;2010-2020;middle;one;30-60 minutes;economy;primary;37,9;11,9;88522,4
13237;2010-2020;middle;two;15-30 minutes;business;primary;72;13,3;116111,1
13244;2010-2020;middle;three and more;15-30 minutes;business;primary;88,2;14,2;114229
13248;2010-2020;middle;two;30-60 minutes;economy;primary;55,4;11,3;89981,9
13249;2010-2020;middle;one;15-30 minutes;economy;primary;37,6;14,9;126994,7
13253;2010-2020;middle;two;30-60 minutes;economy;primary;38,3;7,3;89947,8
13255;2010-2020;middle;two;5-15 minutes;economy;primary;68,6;28,6;161661,8
13258;2010-2020;middle;two;15-30 minutes;comfort;primary;65,7;15;109436,8
13262;2010-2020;middle;two;30-60 minutes;economy;primary;41,5;8,7;94939,8
13268;2010-2020;middle;two;30-60 minutes;economy;primary;41,8;8,6;88995,2
13269;2010-2020;middle;three and more;30-60 minutes;economy;primary;60,8;12,3;87993,4
13273;2010-2020;middle;three and more;15-30 minutes;economy;primary;80,1;18,5;121473,2
13276;2010-2020;middle;one;15-30 minutes;economy;secondary;40;11;137500
13277;1980-2000;first;three and more;15-30 minutes;economy;secondary;72,8;12;95467
13280;2010-2020;middle;two;15-30 minutes;comfort;secondary;64,6;9,5;113003,1
13290;2010-2020;middle;one;30-60 minutes;economy;secondary;36,2;16,3;96685,1
13291;1960-1980;middle;three and more;15-30 minutes;economy;secondary;69;9,1;118840,6
13293;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;49;5,4;107959,2
13298;1980-2000;middle;one;15-30 minutes;economy;secondary;36;11;118055,6
13302;2010-2020;middle;three and more;15-30 minutes;economy;secondary;85,3;12,1;121922,6
13303;1980-2000;middle;two;15-30 minutes;economy;secondary;52,4;8;109732,8
13304;1960-1980;first;one;5-15 minutes;economy;secondary;34;7,4;114705,9
13305;2010-2020;middle;one;less than 5 minutes;economy;secondary;45,5;12,7;105494,5
13306;1960-1980;last;three and more;15-30 minutes;economy;secondary;81,8;6,7;112469,4
13308;1980-2000;middle;one;30-60 minutes;economy;secondary;41;11;110975,6
13309;2010-2020;middle;three and more;5-15 minutes;economy;secondary;90;12,5;150000
13310;2000-2010;middle;three and more;15-30 minutes;economy;secondary;80,1;10,7;112359,6
13313;2010-2020;middle;one;5-15 minutes;comfort;primary;37,8;10;178174,6
13328;2000-2010;middle;one;5-15 minutes;economy;secondary;47,1;12;159235,7
13330;1960-1980;first;two;15-30 minutes;economy;secondary;46;7;91304,3
13332;1960-1980;last;one;15-30 minutes;economy;secondary;31,5;6;133333,3
13333;2010-2020;middle;one;15-30 minutes;economy;secondary;37;14;159459,5
13335;2010-2020;middle;two;15-30 minutes;economy;secondary;61,3;11,1;120717,8
13342;2000-2010;middle;two;5-15 minutes;economy;secondary;90;13,1;132222,2
13343;1960-1980;last;three and more;5-15 minutes;economy;secondary;76,2;9;144357
13346;1960-1980;middle;two;15-30 minutes;economy;secondary;45;7;122222,2
13356;2010-2020;middle;three and more;15-30 minutes;economy;secondary;120,7;28;93620,5
13357;1980-2000;middle;two;15-30 minutes;economy;secondary;57,4;11,8;107735,2
13370;2000-2010;middle;three and more;15-30 minutes;economy;secondary;79,9;10,7;81977,5
13375;2010-2020;middle;three and more;15-30 minutes;economy;secondary;82;19,9;112195,1
13381;1980-2000;first;one;5-15 minutes;economy;secondary;37;6;124324,3
13382;2010-2020;middle;one;30-60 minutes;economy;secondary;38,1;20;144357
13383;1980-2000;middle;three and more;5-15 minutes;economy;secondary;104;21;110096,2
13388;2000-2010;middle;two;15-30 minutes;economy;secondary;52;8,3;117307,7
13389;1960-1980;first;three and more;5-15 minutes;economy;secondary;67,2;7,4;97470,2
13391;1980-2000;middle;three and more;30-60 minutes;economy;secondary;59;7,1;88135,6
13395;2010-2020;middle;two;15-30 minutes;economy;secondary;87,2;4,6;200000
13398;1960-1980;middle;one;15-30 minutes;economy;secondary;30,1;6,8;107973,4
13400;1980-2000;last;two;30-60 minutes;economy;secondary;45;6,2;91111,1
13403;2000-2010;middle;two;less than 5 minutes;economy;secondary;106;30;141509,4
13406;1980-2000;middle;two;30-60 minutes;economy;secondary;52;10,2;92307,7
13407;1980-2000;last;one;30-60 minutes;economy;secondary;35;7;111428,6
13408;2010-2020;middle;one;15-30 minutes;comfort;secondary;35;10;132857,1
13414;1960-1980;middle;one;30-60 minutes;economy;secondary;35;7,2;105714,3
13415;1960-1980;middle;one;15-30 minutes;economy;secondary;31,3;5,8;124600,6
13419;1960-1980;first;two;less than 5 minutes;economy;secondary;46;6,2;97826,1
13420;2010-2020;middle;one;15-30 minutes;economy;secondary;40;12;94975
13421;2010-2020;middle;one;15-30 minutes;comfort;secondary;38;12,9;109473,7
13429;2010-2020;middle;one;15-30 minutes;economy;secondary;44,7;18,8;159955,3
13430;1960-1980;middle;one;15-30 minutes;economy;secondary;35,1;8;113675,2
13435;2010-2020;middle;three and more;15-30 minutes;economy;secondary;103,5;17,4;175458,9
13438;1960-1980;middle;two;15-30 minutes;economy;secondary;45,8;5,5;94978,2
13445;2010-2020;middle;one;15-30 minutes;economy;secondary;35,8;9;181424,6
13448;1960-1980;first;one;30-60 minutes;economy;secondary;30,6;5,5;101307,2
13450;2010-2020;middle;three and more;15-30 minutes;economy;secondary;113,9;12,1;113257,2
13451;2010-2020;middle;three and more;15-30 minutes;economy;secondary;115,7;12,1;109507,3
13452;1960-1980;middle;three and more;5-15 minutes;economy;secondary;75;10;90666,7
13455;2000-2010;first;one;15-30 minutes;economy;secondary;34,5;8,5;123188,4
13458;1980-2000;middle;three and more;15-30 minutes;economy;secondary;69,1;10,8;108538,4
13468;2010-2020;middle;one;15-30 minutes;economy;secondary;30;2;143333,3
13472;1960-1980;middle;one;15-30 minutes;economy;secondary;33,1;6,3;120845,9
13474;1980-2000;middle;three and more;15-30 minutes;economy;secondary;71;11;90140,8
13477;1960-1980;last;two;15-30 minutes;economy;secondary;45,8;6;87314,4
13482;1960-1980;first;two;15-30 minutes;economy;secondary;46;7;82608,7
13487;1960-1980;middle;two;5-15 minutes;economy;secondary;44,2;6,5;108574,7
13492;1980-2000;middle;three and more;15-30 minutes;economy;secondary;67;11,7;119253,7
13493;1960-1980;middle;three and more;5-15 minutes;economy;secondary;56;6;125000
13502;1960-1980;middle;three and more;15-30 minutes;economy;secondary;59,5;6,2;84033,6
13503;1960-1980;middle;one;less than 5 minutes;economy;secondary;31,2;5,6;133012,8
13506;2010-2020;middle;one;5-15 minutes;economy;primary;40,7;10,8;168994,5
13507;1980-2000;middle;three and more;15-30 minutes;economy;secondary;60,8;6,2;102796,1
13509;2010-2020;middle;one;15-30 minutes;economy;secondary;35,2;10,1;109943,2
13511;1960-1980;middle;three and more;15-30 minutes;economy;secondary;58;6,3;98275,9
13512;2010-2020;middle;two;15-30 minutes;economy;secondary;49,5;8,2;122222,2
13524;1960-1980;middle;two;15-30 minutes;economy;secondary;44,9;7,3;106904,2
13525;1980-2000;middle;one;15-30 minutes;economy;secondary;41;10;117073,2
13528;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;85,9;7,1;116298
13530;2010-2020;middle;three and more;15-30 minutes;economy;secondary;113,3;15,5;113239,2
13531;2010-2020;middle;three and more;15-30 minutes;economy;secondary;71;13;116901,4
13532;2010-2020;middle;three and more;15-30 minutes;economy;secondary;100,4;13,5;112350,6
13539;2010-2020;middle;one;30-60 minutes;economy;secondary;44;12;90909,1
13544;2010-2020;middle;two;15-30 minutes;economy;secondary;50;12,5;92800
13545;2000-2010;middle;three and more;30-60 minutes;economy;secondary;100;11;120000
13546;2010-2020;middle;three and more;5-15 minutes;economy;secondary;127;27,5;148818,9
13548;2010-2020;middle;three and more;5-15 minutes;economy;secondary;100;23;139000
13551;2010-2020;middle;three and more;15-30 minutes;economy;secondary;113,4;12,1;110493,8
13564;1960-1980;first;two;15-30 minutes;economy;secondary;50,3;7;96421,5
13565;1960-1980;middle;three and more;15-30 minutes;economy;secondary;59;6;100000
13577;2010-2020;middle;one;15-30 minutes;economy;secondary;33,3;9,1;141141,1
13584;1960-1980;middle;two;5-15 minutes;economy;secondary;52,9;8,3;109621,9
13585;1960-1980;last;one;5-15 minutes;economy;secondary;32,5;9;118461,5
13594;2010-2020;middle;two;5-15 minutes;economy;secondary;71,8;18;211699,2
13596;1980-2000;last;one;30-60 minutes;economy;secondary;47;10,5;113829,8
13597;1980-2000;middle;one;30-60 minutes;economy;secondary;32,1;7,4;98130,8
13599;2010-2020;middle;two;15-30 minutes;economy;secondary;63,2;11,5;154272,2
13607;2010-2020;middle;one;15-30 minutes;economy;secondary;33,7;9;112759,6
13608;1960-1980;middle;two;15-30 minutes;economy;secondary;43;6;103488,4
13611;2000-2010;middle;one;15-30 minutes;economy;secondary;42;11;119047,6
13620;1980-2000;middle;three and more;5-15 minutes;economy;secondary;71;11;106338
13621;1980-2000;middle;three and more;15-30 minutes;economy;secondary;80;15;110000
13623;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;55,5;10,2;113513,5
13624;1960-1980;last;two;15-30 minutes;economy;secondary;44,3;5,5;99097,1
13638;2010-2020;middle;three and more;15-30 minutes;economy;secondary;105,2;41,2;167300,4
13652;1960-1980;middle;three and more;5-15 minutes;economy;secondary;58;6,5;110172,4
13655;2000-2010;middle;two;15-30 minutes;economy;secondary;60;20;120000
13658;1980-2000;last;three and more;15-30 minutes;economy;secondary;98,6;16,1;111054,8
13659;1960-1980;middle;one;15-30 minutes;economy;secondary;31,3;6,2;119808,3
13665;1980-2000;middle;two;less than 5 minutes;economy;secondary;50,8;8,4;125000
13666;2010-2020;middle;three and more;5-15 minutes;economy;secondary;80;11,7;108750
13668;2010-2020;middle;two;5-15 minutes;economy;primary;61;12;146653,2
13669;2000-2010;middle;one;5-15 minutes;economy;secondary;41,8;10;137559,8
13671;2010-2020;middle;three and more;15-30 minutes;economy;secondary;78,1;10,8;102304,7
13673;1960-1980;middle;one;less than 5 minutes;economy;secondary;31;8;117741,9
13676;2010-2020;middle;three and more;15-30 minutes;economy;secondary;78,6;15,1;107760,8
13677;2010-2020;middle;three and more;15-30 minutes;economy;secondary;83,6;16,4;124760,8
13681;2000-2010;middle;one;15-30 minutes;economy;secondary;42;10;121428,6
13683;2010-2020;middle;three and more;15-30 minutes;economy;secondary;61,9;10,5;121809,4
13690;2010-2020;first;three and more;30-60 minutes;economy;secondary;64,7;9,1;116692,4
13694;2010-2020;middle;three and more;15-30 minutes;economy;secondary;61,6;10,5;111850,6
13695;2010-2020;middle;one;15-30 minutes;economy;secondary;26,4;4,6;121212,1
13698;2010-2020;middle;three and more;15-30 minutes;economy;secondary;60,1;10,4;121797
13699;1980-2000;last;three and more;15-30 minutes;economy;secondary;71,8;7;87743,7
13700;2010-2020;middle;two;15-30 minutes;economy;secondary;59,9;10,4;121869,8
13702;1960-1980;first;one;less than 5 minutes;economy;secondary;32,5;6,3;107692,3
13703;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60,9;6,5;94400,7
13704;2010-2020;middle;two;less than 5 minutes;comfort;secondary;54;9,4;164814,8
13706;1960-1980;middle;three and more;30-60 minutes;economy;secondary;82,2;9;91240,9
13712;1980-2000;middle;three and more;5-15 minutes;economy;secondary;68,8;8,3;94476,7
13713;1980-2000;middle;three and more;5-15 minutes;economy;secondary;57,4;7;111498,3
13714;1960-1980;first;two;30-60 minutes;economy;secondary;48;7;97916,7
13715;2000-2010;middle;two;30-60 minutes;economy;secondary;76,6;12;124020,9
13720;1960-1980;middle;three and more;15-30 minutes;economy;secondary;49,1;5;95315,7
13722;1960-1980;middle;two;15-30 minutes;economy;secondary;48,5;5,5;91752,6
13726;2010-2020;middle;two;less than 5 minutes;economy;secondary;61;22;196721,3
13729;2010-2020;middle;one;15-30 minutes;economy;secondary;41;11,5;151219,5
13732;2000-2010;middle;two;less than 5 minutes;economy;secondary;70;14;145714,3
13733;2010-2020;middle;two;15-30 minutes;economy;secondary;60,3;11,7;131840,8
13736;2000-2010;middle;one;less than 5 minutes;economy;secondary;25,5;5;154902
13739;2000-2010;middle;two;15-30 minutes;economy;secondary;48,4;10,2;130165,3
13740;2000-2010;middle;three and more;15-30 minutes;economy;secondary;85,8;12,8;122186,3
13745;2000-2010;middle;one;15-30 minutes;economy;secondary;43,6;9,9;133027,5
13747;1980-2000;middle;one;15-30 minutes;economy;secondary;38;8;113157,9
13751;2010-2020;middle;two;5-15 minutes;comfort;secondary;60;9,8;151666,7
13752;1960-1980;last;two;less than 5 minutes;economy;secondary;53;8;129622,6
13753;2010-2020;middle;two;15-30 minutes;economy;secondary;52;8;114423,1
13757;2000-2010;middle;one;15-30 minutes;economy;secondary;41;12;160975,6
13759;1960-1980;middle;two;less than 5 minutes;economy;secondary;51,6;8;102713,2
13761;1960-1980;middle;two;5-15 minutes;economy;secondary;46,5;5,6;107526,9
13764;1960-1980;last;two;5-15 minutes;economy;secondary;48,7;5,5;113963
13765;1980-2000;middle;two;5-15 minutes;economy;secondary;54;7,8;101833,3
13775;2010-2020;middle;two;5-15 minutes;business;secondary;65,7;11;180974,1
13779;2010-2020;middle;two;15-30 minutes;economy;secondary;75,9;18,1;155467,7
13780;2010-2020;middle;one;15-30 minutes;economy;secondary;35,4;10;107344,6
13784;2010-2020;middle;two;15-30 minutes;economy;secondary;68;9;161764,7
13786;2010-2020;middle;three and more;15-30 minutes;economy;secondary;82,7;10,9;149939,5
13788;2010-2020;middle;three and more;15-30 minutes;economy;secondary;67;24;146268,7
13789;2000-2010;middle;one;less than 5 minutes;economy;secondary;46;12;171739,1
13791;1960-1980;last;two;5-15 minutes;economy;secondary;46;28;81521,7
13793;2010-2020;middle;one;30-60 minutes;comfort;secondary;53,5;13,7;102218,7
13794;2010-2020;middle;two;30-60 minutes;economy;secondary;55,4;14,9;97992,8
13797;1980-2000;middle;three and more;30-60 minutes;economy;secondary;67;10;97000
13804;2000-2010;middle;two;15-30 minutes;comfort;secondary;51,9;29,1;138709,1
13807;2010-2020;first;one;15-30 minutes;economy;secondary;39,4;12,6;111675,1
13808;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;74;7;114864,9
13810;2010-2020;middle;three and more;5-15 minutes;economy;secondary;96;36;213541,7
13811;2010-2020;last;one;less than 5 minutes;comfort;secondary;49,3;20,5;184584,2
13812;2010-2020;middle;two;15-30 minutes;economy;secondary;52;10;113461,5
13813;2010-2020;middle;three and more;less than 5 minutes;comfort;secondary;84,5;12,8;164497
13816;2000-2010;middle;one;15-30 minutes;economy;secondary;46;11;119565,2
13817;2010-2020;middle;two;15-30 minutes;economy;secondary;109,6;56,3;179744,5
13818;1980-2000;middle;one;5-15 minutes;economy;secondary;36,2;8;121547
13823;2010-2020;middle;two;15-30 minutes;economy;secondary;52;8;119230,8
13827;1960-1980;middle;three and more;15-30 minutes;economy;secondary;54,2;6,8;101476
13838;2010-2020;middle;one;less than 5 minutes;economy;secondary;41;9,5;171951,2
13839;2000-2010;first;one;30-60 minutes;economy;secondary;44;14;96590,9
13842;1980-2000;middle;two;15-30 minutes;economy;secondary;45;7;124422,2
13843;1980-2000;middle;three and more;less than 5 minutes;economy;secondary;67,3;9,4;105349,2
13849;1980-2000;middle;one;15-30 minutes;economy;secondary;38,7;10;126615
13851;2010-2020;middle;three and more;15-30 minutes;economy;secondary;84,3;11,8;119810,2
13853;2010-2020;middle;one;5-15 minutes;business;secondary;45;8,3;188888,9
13855;1980-2000;last;three and more;15-30 minutes;economy;secondary;101,7;15,5;79646
13860;2010-2020;first;one;15-30 minutes;economy;secondary;46,6;17,5;141630,9
13861;2010-2020;middle;one;15-30 minutes;economy;secondary;33,6;8,8;139881
13864;1980-2000;last;one;5-15 minutes;economy;secondary;46,2;13,5;111039
13869;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;127;27;173228,3
13871;2010-2020;middle;one;15-30 minutes;economy;secondary;41;12;102195,1
13876;2010-2020;middle;one;15-30 minutes;economy;secondary;47,7;26,7;167505,2
13879;2000-2010;middle;two;5-15 minutes;economy;secondary;57;11;161403,5
13880;2000-2010;middle;two;less than 5 minutes;economy;secondary;98;14;150000
13884;2010-2020;middle;one;30-60 minutes;economy;secondary;26,5;5,5;142641,5
13885;2010-2020;middle;one;15-30 minutes;economy;secondary;35,5;9;118309,9
13886;2010-2020;middle;one;15-30 minutes;economy;primary;34;9,6;144117,6
13895;2000-2010;middle;one;15-30 minutes;economy;secondary;37;10,5;129729,7
13896;2010-2020;middle;two;30-60 minutes;economy;secondary;45;6;154444,4
13897;2010-2020;middle;one;15-30 minutes;economy;secondary;44;12;175000
13901;1960-1980;middle;three and more;15-30 minutes;economy;secondary;58,2;7;102233,7
13903;2010-2020;middle;three and more;5-15 minutes;economy;secondary;107,8;29,7;176252,3
13913;1980-2000;middle;three and more;5-15 minutes;economy;secondary;112;10;76607,1
13914;2010-2020;middle;three and more;15-30 minutes;economy;secondary;83,2;16,3;116105,8
13915;1960-1980;middle;one;5-15 minutes;economy;secondary;40;10;117500
13916;2000-2010;last;three and more;5-15 minutes;economy;secondary;110;17;154545,5
13918;2010-2020;middle;two;15-30 minutes;economy;secondary;53;13;111132,1
13926;1960-1980;middle;one;15-30 minutes;economy;secondary;31;5,3;119354,8
13927;1960-1980;middle;two;5-15 minutes;economy;secondary;42,2;4,9;118222,7
13928;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60,1;6,3;94841,9
13929;2010-2020;middle;one;15-30 minutes;economy;secondary;32,1;8,7;202492,2
13930;1960-1980;first;three and more;15-30 minutes;economy;secondary;53,8;5;94609,7
13935;1980-2000;middle;three and more;15-30 minutes;economy;secondary;60;6,2;85000
13936;2000-2010;middle;two;15-30 minutes;economy;secondary;76;14;131565,8
13937;1960-1980;first;two;15-30 minutes;economy;secondary;55,5;8;89909,9
13938;2010-2020;middle;one;15-30 minutes;economy;secondary;25,6;5;140234,4
13939;2010-2020;middle;three and more;15-30 minutes;economy;secondary;66,2;9,4;93655,6
13940;1960-1980;first;three and more;15-30 minutes;economy;secondary;54,8;7,1;85583,9
13942;1960-1980;middle;three and more;5-15 minutes;economy;secondary;42;5;92857,1
13946;1960-1980;middle;one;30-60 minutes;economy;secondary;30,8;7,8;121753,2
13948;1960-1980;first;two;less than 5 minutes;economy;secondary;42;5;135714,3
13949;1960-1980;last;one;15-30 minutes;economy;secondary;38,2;8,1;114921,5
13950;2000-2010;middle;one;15-30 minutes;economy;secondary;50;14,2;130000
13952;2010-2020;middle;two;30-60 minutes;economy;secondary;56,1;12,2;112121,2
13957;1980-2000;middle;three and more;5-15 minutes;economy;secondary;126,5;13;130434,8
13958;1960-1980;middle;three and more;15-30 minutes;economy;secondary;71,2;8,9;100421,3
13963;1980-2000;middle;three and more;15-30 minutes;economy;secondary;63,6;8;127358,5
13965;2000-2010;middle;three and more;15-30 minutes;economy;secondary;95;12,2;115789,5
13966;1960-1980;middle;two;less than 5 minutes;economy;secondary;42,4;5,5;113207,5
13971;2010-2020;middle;two;15-30 minutes;economy;secondary;60,7;18,5;119940,7
13972;2000-2010;middle;two;5-15 minutes;economy;secondary;80;35;142375
13979;1960-1980;first;three and more;30-60 minutes;economy;secondary;81;10;78395,1
13980;2010-2020;middle;two;15-30 minutes;economy;primary;61,5;19,2;76422,8
13981;2010-2020;middle;one;15-30 minutes;economy;primary;39,1;12,8;88235,3
13986;1980-2000;middle;two;15-30 minutes;economy;secondary;52;7,4;113461,5
13989;2010-2020;middle;one;15-30 minutes;economy;secondary;50,7;13,6;123274,2
13993;1960-1980;middle;three and more;15-30 minutes;economy;secondary;72,7;8,1;85282
13996;2010-2020;middle;two;15-30 minutes;economy;secondary;74,7;14,8;109772,4
13997;2010-2020;middle;one;less than 5 minutes;economy;secondary;39,4;14;167512,7
14003;2000-2010;middle;two;5-15 minutes;economy;secondary;55,7;12;140035,9
14014;1960-1980;middle;three and more;15-30 minutes;economy;secondary;57;9;140333,3
14017;1980-2000;middle;two;15-30 minutes;economy;secondary;49;8,2;93673,5
14022;1960-1980;last;two;5-15 minutes;economy;secondary;45,4;6,2;125550,7
14023;2000-2010;middle;one;15-30 minutes;economy;secondary;43;10;133720,9
14024;2010-2020;middle;one;15-30 minutes;economy;secondary;39;12;153333,3
14034;1980-2000;middle;two;30-60 minutes;economy;secondary;48,1;7,7;106029,1
14036;2000-2010;middle;two;15-30 minutes;economy;secondary;60;12;133166,7
14037;2000-2010;first;two;5-15 minutes;economy;secondary;69,6;10,7;107758,6
14038;2010-2020;middle;one;15-30 minutes;economy;secondary;51;14;169607,8
14040;2010-2020;middle;two;15-30 minutes;economy;secondary;64,4;19;139751,6
14041;2010-2020;first;three and more;5-15 minutes;economy;secondary;124,7;26,9;137091
14048;1960-1980;middle;three and more;15-30 minutes;economy;secondary;72;7,7;87500
14050;2000-2010;middle;one;15-30 minutes;economy;secondary;40,6;11;125615,8
14051;2010-2020;middle;one;15-30 minutes;economy;primary;23,5;3,5;121276,6
14052;1980-2000;middle;three and more;15-30 minutes;economy;secondary;81,2;15;102093,6
14059;2010-2020;middle;two;15-30 minutes;economy;secondary;63;10,4;123809,5
14066;1960-1980;middle;two;less than 5 minutes;economy;secondary;44;6,8;143181,8
14082;1980-2000;middle;one;5-15 minutes;economy;secondary;36,5;8;156164,4
14088;2010-2020;middle;one;15-30 minutes;economy;secondary;36,9;11;109756,1
14090;1960-1980;middle;one;15-30 minutes;economy;secondary;36,6;11,4;95628,4
14104;2010-2020;middle;three and more;15-30 minutes;economy;secondary;76,4;8,4;87696,3
14106;2010-2020;middle;one;30-60 minutes;economy;primary;37,8;11,9;123015,9
14110;2000-2010;middle;one;15-30 minutes;economy;secondary;39;13;146153,8
14111;2010-2020;middle;three and more;15-30 minutes;economy;secondary;88,7;13,6;64261,6
14112;2010-2020;middle;one;15-30 minutes;economy;secondary;40;11;75000
14113;2010-2020;middle;one;15-30 minutes;economy;primary;36;11;144444,4
14114;2000-2010;middle;three and more;5-15 minutes;economy;secondary;107,3;17,3;152842,5
14116;1960-1980;first;two;15-30 minutes;economy;secondary;44,7;6,8;92617,4
14126;2010-2020;middle;two;5-15 minutes;economy;secondary;70;14;128571,4
14142;2000-2010;middle;one;less than 5 minutes;economy;secondary;43;13;123255,8
14146;2010-2020;middle;two;15-30 minutes;economy;secondary;69,1;14,9;212735,2
14147;1980-2000;first;two;30-60 minutes;economy;secondary;46,4;8,1;103232,8
14148;2000-2010;middle;three and more;15-30 minutes;economy;secondary;93,3;20;163987,1
14149;1980-2000;middle;three and more;15-30 minutes;economy;secondary;78;14;94230,8
14162;2010-2020;middle;one;5-15 minutes;economy;secondary;26;21;176923,1
14163;2010-2020;middle;one;15-30 minutes;economy;secondary;29,6;5,5;125675,7
14167;2010-2020;middle;two;30-60 minutes;economy;secondary;53;12;118867,9
14170;2010-2020;middle;one;15-30 minutes;economy;secondary;35;10;131428,6
14171;2000-2010;middle;one;5-15 minutes;economy;primary;36;11,2;88888,9
14174;2010-2020;middle;one;15-30 minutes;economy;secondary;36,3;17;125344,4
14181;1960-1980;middle;two;15-30 minutes;economy;secondary;44,5;6;89887,6
14185;2010-2020;middle;two;15-30 minutes;economy;secondary;68;12;113235,3
14186;2010-2020;middle;one;15-30 minutes;comfort;secondary;39,7;10,4;146095,7
14188;1980-2000;middle;two;less than 5 minutes;economy;secondary;51;11;136274,5
14198;2010-2020;middle;three and more;15-30 minutes;economy;secondary;84,3;10,2;94306
14200;2000-2010;middle;one;5-15 minutes;economy;secondary;53;12;111320,8
14207;2010-2020;middle;one;15-30 minutes;economy;secondary;40,5;10;107407,4
14212;2010-2020;middle;three and more;15-30 minutes;economy;secondary;83,1;10,8;74488,6
14213;1980-2000;middle;one;15-30 minutes;economy;secondary;38,7;10,3;103359,2
14215;2010-2020;middle;two;15-30 minutes;economy;primary;51,9;9,4;95086,7
14227;2010-2020;middle;one;5-15 minutes;economy;secondary;40;11;112500
14234;2010-2020;middle;one;15-30 minutes;economy;secondary;33,6;10;95238,1
14249;2010-2020;middle;three and more;15-30 minutes;economy;secondary;76;21;168421,1
14250;2000-2010;middle;one;15-30 minutes;economy;secondary;34;10;111764,7
14251;1960-1980;middle;one;15-30 minutes;economy;secondary;35,7;7,8;95238,1
14254;2000-2010;middle;three and more;15-30 minutes;economy;secondary;90,6;15;154525,4
14258;1960-1980;middle;two;15-30 minutes;economy;secondary;44,2;6,7;119909,5
14260;2010-2020;middle;two;30-60 minutes;economy;primary;52;15;81230,8
14261;2000-2010;middle;two;15-30 minutes;economy;secondary;63;10;125396,8
14264;2010-2020;last;one;less than 5 minutes;economy;secondary;69,2;13,3;209176,3
14265;1960-1980;middle;three and more;5-15 minutes;economy;secondary;59;6;98135,6
14266;2010-2020;middle;three and more;5-15 minutes;economy;secondary;83;12;160843,4
14268;2000-2010;middle;one;5-15 minutes;economy;secondary;46,9;10;125799,6
14269;2010-2020;middle;three and more;15-30 minutes;economy;secondary;83,1;16,4;116847,2
14270;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;119;20;134033,6
14272;2010-2020;middle;one;15-30 minutes;comfort;primary;37,8;10,3;123015,9
14274;2000-2010;middle;two;15-30 minutes;economy;secondary;55;11;190909,1
14278;2000-2010;middle;two;15-30 minutes;economy;secondary;62,4;10,9;87500
14281;2010-2020;middle;two;15-30 minutes;business;secondary;66;16;140909,1
14282;1980-2000;middle;one;15-30 minutes;economy;secondary;46;13,2;108695,7
14287;1980-2000;last;three and more;5-15 minutes;economy;secondary;71,7;8,2;97489,5
14290;2010-2020;middle;one;15-30 minutes;economy;primary;32;10,2;112500
14291;2000-2010;middle;one;15-30 minutes;economy;secondary;44,3;8,9;174492,1
14293;1980-2000;middle;three and more;15-30 minutes;economy;secondary;71,6;8,2;92178,8
14296;2010-2020;middle;one;15-30 minutes;economy;primary;36;9,9;121944,4
14302;2010-2020;last;one;15-30 minutes;economy;secondary;37,8;16,5;132275,1
14303;2000-2010;first;one;5-15 minutes;economy;secondary;55,1;15,8;127041,7
14308;2000-2010;middle;two;15-30 minutes;economy;primary;52,3;10,3;124283
14311;2000-2010;middle;three and more;5-15 minutes;economy;secondary;90;15,3;135544,4
14313;2010-2020;middle;one;15-30 minutes;economy;secondary;35;10;125428,6
14315;1980-2000;first;three and more;5-15 minutes;economy;secondary;59;7;83050,8
14316;2000-2010;middle;three and more;15-30 minutes;economy;secondary;94,9;18,1;131717,6
14318;2010-2020;middle;one;15-30 minutes;economy;secondary;38,1;9,2;118110,2
14319;2010-2020;middle;two;15-30 minutes;economy;primary;63,6;10,7;112393,6
14320;2010-2020;middle;three and more;15-30 minutes;economy;secondary;88,5;11,5;108474,6
14321;2010-2020;middle;one;15-30 minutes;economy;secondary;40;10;107500
14324;2010-2020;middle;two;less than 5 minutes;economy;secondary;92,3;17,9;178548,2
14325;2010-2020;middle;one;15-30 minutes;comfort;secondary;29,5;5,5;124237,3
14328;2010-2020;middle;one;15-30 minutes;comfort;secondary;44;12;106704,5
14333;2010-2020;middle;two;5-15 minutes;economy;secondary;62,6;10;111821,1
14336;1960-1980;middle;three and more;15-30 minutes;economy;secondary;117;9;158119,7
14338;2000-2010;middle;one;less than 5 minutes;economy;secondary;42,1;10,3;170783,8
14340;1980-2000;last;three and more;15-30 minutes;economy;secondary;81,3;10;110701,1
14341;1980-2000;first;three and more;30-60 minutes;economy;secondary;66;8,7;85303
14342;2000-2010;middle;one;5-15 minutes;economy;secondary;44,7;11,3;149888,1
14346;2000-2010;middle;one;less than 5 minutes;economy;secondary;40,1;10,5;143391,5
14348;2000-2010;middle;one;15-30 minutes;economy;secondary;27;5;136666,7
