Address,Title
"Нижний Новгород, ул.Политбойцов, 17",Детский сад №114
"Нижний Новгород, ул.Народная, 38б",Детский сад №114
"Нижний Новгород, ул.Политбойцов, 27",Детский сад №115
"Нижний Новгород, ул.Шаляпина, 5а","Детский сад №115, здание №1"
"Нижний Новгород, ул.Хохломская, 5","Детский сад №115, здание №2 (бывший детский сад №16/59)"
"Нижний Новгород, ул.Политбойцов, 25",Детский сад №116
"Нижний Новгород, ул.Политбойцов, 5",Детский сад №117
"Нижний Новгород, ул.Фучика, 23а",Детский сад №118
"Нижний Новгород, ул.Тепличная, 6а",Детский сад №118
"Нижний Новгород, ул.Комсомольская, 56",Детский сад №119
"Нижний Новгород, ул.Маршала Жукова, 23",Детский сад №119
"Нижний Новгород, ул.Семашко, 17а",Детский сад №120
"Нижний Новгород, ул.Челюскинцев, 21",Детский сад №121
"Нижний Новгород, ул.Советской Армии, 11",Детский сад №122
"Нижний Новгород, пр.Бусыгина, 50а",Детский сад №123
"Нижний Новгород, ул.Самочкина, 5а",Детский сад №125
"Нижний Новгород, ул.Есенина, 15",Детский сад №126
"Нижний Новгород, ул.Голованова, 51",Детский сад №129
"Нижний Новгород, ул.Первоцветная, 8, корп.1",Детский сад №130 (здание №1)
"Нижний новгород, ул.Цветочная, 7, корп.1",Детский сад №130 (здание №2)
"Нижний Новгород, ул.Большая Перекрестная, 9",Детский сад №135
"Нижний Новгород, ул.Грузинская, 12а",Детский сад №136
"Нижний Новгород, ул.Березовская, 95а",Детский сад №141
"Нижний Новгород, ул.Батумская, 9б",Детский сад №143
"Нижний Новгород, ул.Бекетова, 7а",Детский сад №145
"Нижний Новгород, ул.Коминтерна, 18",Детский сад №147
"Нижний Новгород, ул.Мончегорская, 8а",Детский сад №149
"Нижний Новгород, ул.Щербинки-1, 31",Детский сад №150
"Нижний Новгород, ул.Полевая, 10",Детский сад №150 (бывший детский сад №474)
"Нижний Новгород, пр.Ленина, 19б",Детский сад №151
"Нижний Новгород, ул.Глеба Успенского, 11а",Детский сад №152
"Нижний Новгород, 6 мкрн, 29а",Детский сад №153
"Нижний Новгород, ул.Херсонская, 14, корп.1",Детский сад №154
"Нижний Новгород, пр.Ленина, 61а",Детский сад №155
"Нижний Новгород, ул.Чаадаева, 19а","Детский сад №156, корпус 1"
"Нижний Новгород, ул.Чаадаева, 21а","Детский сад №156, корпус №2 (бывший детский сад №80)"
"Нижний Новгород, ул.Паскаля, 6",Детский сад №157
"Нижний Новгород, ул.Перекопская, 5а",Детский сад №158
"Нижний Новгород, пр.Ленина, 57/4",Детский сад №159
"Нижний Новгород, ул.Адмирала Макарова, 3",Детский сад №160
"Нижний Новгород, ул.Костина, 8а",Детский сад №161
"Нижний Новгород, ул.Пятигорская, д.6",Детский сад №162
"Нижний Новгород, ул.Пятигорская, 2а",Детский сад №162 (бывший детский сад №12)
"Нижний Новгород, ул.Диксона, 33",Детский сад №165
"Нижний Новгород, пр.Ленина, 28",Детский сад №167
"Нижний Новгород, ул.Римского-Корсакова, 11","Детский сад №190, здание №1"
"Нижний Новгород, ул.Римского-Корсакова, 51","Детский сад №190, здание №2 (бывший детский сад №347)"
"Нижний Новгород, ул.Малиновского, 8",Детский сад №196
"Нижний Новгород, ул.Челюскинцев, 2а",Детский сад №198
"Нижний Новгород, ул.Мечникова, 77а",Детский сад №199
"Нижний Новгород, пр.Ленина, 83",Детский сад №201
"Нижний Новгород, ул.Пятигорская, 18в",Детский сад №205
"Нижний Новгород, ул.Батумская, 24",Детский сад №205 (бывший детский сад №10)
"Нижний Новгород, ул.Вологдина, 3а",Детский сад №205 (бывший детский сад №140)
"Нижний Новгород, ул.Луганская, 8",Детский сад №205 (бывший детский сад №255)
"Нижний Новгород, ул.Жукова, 15",Детский сад №210
"Нижний Новгород, ул.Федосеенко, 10",Детский сад №211
"Нижний Новгород, ул.Гвардейцев, 13",Детский сад №212
"Нижний Новгород, пр.Гагарина, 36",Детский сад №214
"Нижний Новгород, ул.Красносормовская, 12б",Детский сад №215
"Нижний Новгород, ул.Артельная, 10",Детский сад №220
"Нижний Новгород, пос.Мостоотряд, 30а",Детский сад №223
"Нижний Новгород, ул.Звездинка, 7а",Детский сад №226
"Нижний Новгород, ул.Заломова, 11а",Детский сад №226 (бывший детский сад №448)
"Нижний Новгород, ул.Зайцева, 14",Детский сад №229
"Нижний Новгород, ул.Гоголя, 16а",Детский сад №230
"Нижний Новгород, ул.Гороховецкая, 24",Детский сад №231
"Нижний Новгород, ул.40 лет Октября, 18а",Детский сад №234
"Нижний Новгород, ул.Ярошенко, 4а","Детский сад №236, корпус №1"
"Нижний Новгород, ул.Ярошенко, 2б","Детский сад №236, корпус №2 (бывший детский сад №92)"
"Нижний Новгород, ул.Каширская, 69а",Детский сад №247
"Нижний Новгород, ул.Ильинская, 118а",Детский сад №248
"Нижний Новгород, ул.Белинского, 55б",Детский сад №252
"Нижний Новгород, ул.Сибирцева, 9а","Детский сад №253, структурное подразделение школы №122"
"Нижний Новгород, ул.Заярская, 9",Детский сад №254
"Нижний Новгород, ул.Таганская, 9б",Детский сад №256
"Нижний Новгород, ул.Поющего, 29",Детский сад №257
"Нижний Новгород, ул.Мончегорская, 7б",Детский сад №258
"Нижний Новгород, ул.Горького, 100г",Детский сад №265
"Нижний Новгород, ул.Ивлиева, 30, корп.2",Детский сад №267
"Нижний Новгород, ул.Чукотская, 8",Детский сад №268
"Нижний Новгород, ул.Комарова, 13в",Детский сад №269
"Нижний Новгород, ул.Светлоярская, 26а",Детский сад №270
"Нижний Новгород, ул.Горная, 10а",Детский сад №271
"Нижний Новгород, ул.Гастелло, 6",Детский сад №272
"Нижний Новгород, ул.Таганская, 9а",Детский сад №275
"Нижний Новгород, ул.Пушкина, 13/6",Детский сад №276
"Нижний Новгород, ул.Бекетова, 25а",Детский сад №277
