Address,Title
"Нижний Новгород, ул.Адмирала Нахимова, 6",Школа №160
"Нижний Новгород, Южное ш., 6а",Школа №161
"Нижний Новгород, ул.Старых производственников, 13а",Школа-интернат №162
"Нижний Новгород, ул.Строкина, 7",Лицей №165
"Нижний Новгород, ул.Ухтомского, 78",Школа №167
"Нижний Новгород, ул.Электровозная, 15",Школа №167 (бывшая школа №164)
"Нижний Новгород, ул.Путейская, 23б",Школа №168 им.И.И.Лабузы 
"Нижний Новгород, ул.Смирнова, 39а",Школа №169
"Нижний Новгород, ул.Мончегорская, 19а",Школа №170
"Нижний Новгород, ул.Львовская, 35",Школа №171
"Нижний Новгород, ул.Мирошникова, 4а",Школа №172
"Нижний Новгород, ул.Бекетова, 29а",Школа №173
"Нижний Новгород, мкрн Щербинки 1, 30",Школа №174
"Нижний Новгород, ул.Чугунова, 9",Школа №175
"Нижний Новгород, ул.Героя Чугунова, 9",Школа №175
"Нижний Новгород, ул.К.Маркса, 17",Школа №176
"Нижний Новгород, ул.Норильская, 1",Школа №177
"Нижний Новгород, ул.Софьи Перовской, 2",Школа №178
"Нижний Новгород, ул.Сазанова, 10а",Школа №179
"Нижний Новгород. пр.Ленина, 45/5",Лицей №180
"Нижний Новгород, Лесной городок, 6а",Школа №181
"Нижний Новгород, ул.Космонавта Комарова, 2в","Школа №182, главный корпус"
"Нижний Новгород, ул.Космонавта Комарова, 6","Школа №182, корпус 2 (бывшая школа №148)"
"Нижний Новгород, ул.Энгельса, 27",Школа №183 им.Алексеева
"Нижний Новгород, пр.Ленина, 61/6",Гимназия №184
"Нижний Новгород, ул.Академика Баха, 6",Школа №185
"Нижний Новгород, ул.Генкиной, 84",Школа №186
"Нижний Новгород, б-р 60 летия Октября, 5",Школа №187
"Нижний Новгород, ул.Пермякова, 10а",Школа №190
"Нижний Новгород, ул.Сухопутная, 2",Кадетская школа - интернат
"Нижний Новгород, ул.Коминтерна, 101",Лицей-интернат Центр одаренных детей
"Нижний Новгород, ул.Ильинская, 47",Православная гимназия им. преп. Сергия Радонежского
"Нижний Новгород, Анкудиновское ш., 24",Санаторно-лесная школа
"Нижний Новгород, ул.Василия Иванова, 63",Сормовская православная гимназия имени святого апостола и евангелиста Иоанна Богослова
"Нижний Новгород, Анкудиновское ш., 9",Школа-интернат для глухих детей
"Нижний Новгород, ул.Трамвайная, 79",Православная гимназия им. святых Кирилла и Мефодия
